row,column,original_data,sensitivity_level,protection_status,confidence,sensitive_types
1,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
1,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
1,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
1,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
1,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
2,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
2,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
2,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
2,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
2,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
3,email,admin@test.com,No sensible,Estado desconocido,0.1,
3,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
3,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
3,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
3,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
4,email,user@example.org,No sensible,Estado desconocido,0.1,
4,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
4,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
4,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
4,ip,localhost,No sensible,Estado desconocido,0.1,
5,email,email,No sensible,Estado desconocido,0.1,
5,password_hash,password_hash,No sensible,Estado desconocido,0.1,
5,rut,rut,No sensible,Estado desconocido,0.1,
5,telefono,telefono,No sensible,Estado desconocido,0.1,
5,ip,ip,No sensible,Estado desconocido,0.1,
6,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
6,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
6,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
6,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
6,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
7,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
7,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
7,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
7,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
7,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
8,email,admin@test.com,No sensible,Estado desconocido,0.1,
8,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
